"","AME_R","LO_R","NO","BU_R","PB","LH_R","LAL_R","SAD","CAN_R","AMMC_R","ICL_R","VES_R","IB_R","ATL_R","CRE_R","MB_PED_R","MB_VL_R","MB_ML_R","FLA_R","LOP_R","EB","AL_R","ME_R","FB","SLP_R","SIP_R","SMP_R","AVLP_R","PVLP_R","IVLP_R","PLP_R","AOTU_R","GOR_R","MB_CA_R","SPS_R","IPS_R","SCL_R","EPA_R","GNG","PRW","GA_R","AME_L","LO_L","BU_L","LH_L","LAL_L","CAN_L","AMMC_L","ICL_L","VES_L","IB_L","ATL_L","CRE_L","MB_PED_L","MB_VL_L","MB_ML_L","FLA_L","LOP_L","AL_L","ME_L","SLP_L","SIP_L","SMP_L","AVLP_L","PVLP_L","IVLP_L","PLP_L","AOTU_L","GOR_L","MB_CA_L","SPS_L","IPS_L","SCL_L","EPA_L","GA_L"
"Ntwk1",32.7016899338722,754.057310800882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1412.27773695812,0,0,4400.98383541514,0,0.282145481263777,0,0,0.540044085231447,3.96767083027186,0.0646583394562821,5.16458486407054,0.570168993387215,0,0,0,1.34239529757531,0,0,0.0822924320352682,0,0,0,0.0999265246142542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969875091844232,0,3.60323291697281,0,0,0,0,0,0,0.529022777369581,0,0,0,0,0,0,0,0
"Ntwk2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72550607287449,0,0,0,0,0,0,0,0.00647773279352227,0,0,0,0,0.280161943319838,0,0,0,0,0,39.7182186234818,762.628340080972,0,11.1287449392713,0,0,0,0,0,0,0,0,0,0,0,0,1377.70688259109,0,3761.94251012146,11.6663967611336,0,0,0.602429149797571,8.182995951417,0,4.17813765182186,1.8914979757085,0,0,0.116599190283401,1.63967611336032,0,0,0
"Ntwk3",0.174257425742574,7.17623762376238,0,0,0,0,0,0.24950495049505,0,0,0.213861386138614,0.118811881188119,0.720792079207921,0,0,0,0,0,0,1.51287128712871,0.340594059405941,0,4.57821782178218,0.554455445544555,0,0,0.41980198019802,0.0871287128712871,3.78613861386139,0,3.16930693069307,0.00792079207920792,1.44950495049505,0,2.15445544554455,0.00792079207920792,0.728712871287129,0.110891089108911,2.51782178217822,0.823762376237624,0,8.92178217821782,4332.16336633663,0,26.6475247524752,0.205940594059406,0,0,7.60495049504951,0,1.39405940594059,0.324752475247525,0.475247524752475,19.4920792079208,3.93663366336634,3.73069306930693,0,620.327722772277,0,553.573267326733,45.890099009901,20.3217821782178,0.673267326732673,95.7584158415842,666.372277227723,3.33564356435644,407.011881188119,315.750495049505,1.99009900990099,2.84356435643564,65.9861386138614,10.1960396039604,15.619801980198,0.0712871287128713,0
"Ntwk4",8.58688147295742,4424.90563866513,0.20253164556962,0,0.76409666283084,18.7318757192175,0.548906789413119,0,0,0,3.94476409666283,0.0644418872266974,0.414269275028769,0.266973532796318,2.21864211737629,34.7882623705408,6.84004602991945,7.76064441887227,0,599.837744533947,0.0736478711162255,0,327.380897583429,0.0736478711162255,25.8860759493671,16.8365937859609,0.754890678941312,102.331415420023,758.945914844649,2.7433831990794,415.914844649022,453.678941311853,2.29919447640967,1.38089758342923,41.6754890678941,5.35788262370541,16.6271576524741,0.531645569620253,13.8550057537399,1.42692750287687,0,0,5.82738780207135,0,0.451093210586881,0,0,0,0.0736478711162255,0,0.40506329113924,0,0,0,0.40506329113924,0,0,14.8308400460299,0,2.90909090909091,0.478711162255466,0.313003452243959,0.30379746835443,0.110471806674338,1.7307249712313,0,1.39010356731876,0.441887226697353,0.86536248561565,0,2.19102416570771,0,0,0.184119677790564,0
"Ntwk5",19.0247349823322,3407.08480565371,0,0.103651354534747,0,0.772673733804476,0,0,0,0,0.424028268551237,0.555948174322733,0.103651354534747,0,0.508833922261484,1.6301531213192,0.433451118963486,0.0188457008244994,0,456.282685512367,0,0,1253.72909305065,0.122497055359246,1.02709069493522,0.0282685512367491,0.150765606595995,99.0294464075383,1367.58892815077,15.3627797408716,43.8574793875147,6.53003533568905,0.405182567726737,0.612485276796231,1.5924617196702,3.39222614840989,0.216725559481743,0,83.4028268551237,1.5359246171967,0,0,5.60659599528857,0,0,0,0,0,0,0,0.207302709069494,0,0,0,0.179034157832744,0,0.0848056537102474,0.471142520612485,0,3.73144876325088,0,0.0942285041224971,0.584216725559482,0,2.38398115429918,0,0.876325088339223,2.57243816254417,0.0471142520612485,0,2.20494699646643,0,0,0.0659599528857479,0
"Ntwk6",0,2.21761658031088,0.290155440414508,0,0.632124352331606,0,0,0.0310880829015544,0,0,0,0,0,0,0,0,0.186528497409326,0.0207253886010363,0,0.839378238341969,0.963730569948187,0,3.81347150259067,0,0,0.518134715025907,1.2020725388601,1.60621761658031,2.51813471502591,0,1.61658031088083,2.38341968911917,0.580310880829015,0,0.808290155440414,0.330310880829016,0.33160621761658,0,11.8860103626943,0,0,33.050518134715,3292.80829015544,0,0.580310880829015,0,0,0.145077720207254,0.590673575129534,3.63730569948187,0.549222797927461,0,0.829015544041451,4.55958549222798,4.7979274611399,4.69430051813471,0,669.534974093264,0,2169.4792746114,2.33549222797927,0,1.01554404145078,295.857512953368,1182.0932642487,11.7240932642487,114.160621761658,14.6075129533679,0.725388601036269,4.74611398963731,14.3082901554404,17.8588082901554,1.38860103626943,0,0
"Ntwk7",0,0,0.342612419700214,0,4.38543897216274,0.0342612419700214,0,0.137044967880086,0,0,0,0,0,0,0.0513918629550321,0,0.0342612419700214,0,0,0,22.2869379014989,0,0,7.79443254817987,0,0,0,0,0,0,0.0171306209850107,0,0,0.0685224839400428,0,0,0,0,0,0,0,8.23340471092077,44.117773019272,0,3440.53961456103,1.2847965738758,0,1.593147751606,47.7173447537473,0.137044967880086,0.599571734475375,0.0171306209850107,172.10278372591,452.250535331906,346.695931477516,1013.62098501071,0,0,1.31905781584582,60.1541755888651,1106.92077087794,109.372591006424,111.164882226981,289.072805139186,79.7259100642398,0.447537473233405,166.340471092077,4.17987152034261,0.119914346895075,1017.02355460385,2.20985010706638,0,304.873661670236,0,0.873661670235546
"Ntwk8",1.07289293849658,109.881548974943,1.40318906605923,0.0182232346241458,0.200455580865604,0,5.53986332574032,169.765375854214,0,91.1708428246014,11.9817767653759,4.3371298405467,4.44646924829157,0,0.637813211845103,0.182232346241458,0.801822323462415,0,0,32.8428246013667,1.67653758542141,1.02050113895216,1150.78587699317,18.8359908883827,3.13439635535308,2.36902050113895,2.07744874715262,157.667425968109,103.189066059226,30.0501138952164,38.3302961275626,1.53075170842825,19.49430523918,0,18.8929384965831,0.564920273348519,1.80410022779043,2.24145785876993,204.683371298405,0.0728929384965831,0.382687927107062,5.86788154897494,1629.70159453303,0.364464692482916,21.1343963553531,2.33940774487472,0,85.6492027334852,71.6537585421412,3.75398633257403,6.0501138952164,1.3120728929385,0.273348519362187,14.0660592255125,0.949886104783599,0,0.364464692482916,403.617312072893,0.0911161731207289,619.815489749431,137.587699316629,14.5899772209567,2.00455580865604,6395.79043280182,2528.63097949886,81.0751708428246,534.072892938497,103.699316628702,18.8428246013667,2.46013667425968,86.0273348519362,176.861047835991,35.1799544419134,4.61731207289294,0
"Ntwk9",0,0,0,0,10.3744292237443,1.47945205479452,0.0182648401826484,7.61187214611872,0,3.10502283105023,109.24200913242,0,0,0.45662100456621,381.65296803653,712.413242009132,720.328767123288,1707.77853881279,0,0,73.5890410958904,0,0,0,2.57534246575342,224.538812785388,58.0730593607306,0,0.255707762557078,0,81.1027397260274,0.831050228310502,0,1429.8904109589,0.0730593607305936,0,109.778538812785,0,136.038812785388,15.1963470319635,1.04109589041096,0,0,0,0,0,0,4.23744292237443,0,0,0,0,0.273972602739726,0,0,10.1187214611872,0.127853881278539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ntwk10",45.0756501182033,1881.70685579196,0,0.718676122931442,0.472813238770686,46.016548463357,0.643026004728132,29.7872340425532,0,19.3167848699764,26.1205673758865,0.226950354609929,0,0,5.37115839243499,15.0543735224586,2.11820330969267,15.451536643026,0,168.555555555556,1.34278959810875,0.0567375886524823,891.132387706856,0.58628841607565,47.8723404255319,9.77777777777778,0.907801418439716,5755.89834515366,3725.26713947991,171.676122931442,817.855791962175,54.2387706855792,4.95508274231678,12.2505910165485,21.6359338061466,93.8250591016548,32.338061465721,2.47281323877069,53.5224586288416,0,0,0,0,0,0,0,0,9.21040189125296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59101654846336,0,0,0,0,0,0,0,0,0,0,0
