"","Surface","Volume","N_bifs","N_branch","Width","Height","Depth","EucDistance","PathDistance","Branch_Order","Contraction","Fragmentation","Partition_asymmetry","Bif_ampl_local","Fractal_Dim","Bif_ampl_remote","Length"
"Class #45",13682.523592233,3420.6332038835,63.3203883495146,127.640776699029,215.870837864078,399.253,138.878446601942,427.875378640777,937.285029126214,21.9611650485437,0.788070495145631,553.184466019418,0.641053553398058,99.6244815533981,1.09649912621359,96.6432,4355.28370873786
"Class #46",13624.7046078431,3406.17588235294,73.1764705882353,147.352941176471,259.275608823529,294.119705882353,138.429411764706,354.648392156863,946.865656862745,24.3725490196078,0.776890352941176,652.56862745098,0.630583970588235,97.8958284313725,1.1127181372549,95.1175519607843,4336.87754901961
"Class #47",12992.0025225225,3248.00181981982,77.4234234234234,155.846846846847,193.815715315315,272.127263963964,131.434774774775,326.032333333333,808.235216216216,24.8288288288288,0.780860108108108,656.09009009009,0.617113540540541,97.4238531531531,1.11395072072072,95.6179873873874,4135.48497297297
"Class #48",9491.48045454546,2372.86946590909,46.1136363636364,93.2272727272727,205.349638636364,296.551010227273,106.591818181818,319.788375,845.507102272727,19.5113636363636,0.774565931818182,402.988636363636,0.620614954545455,99.7300363636364,1.11208704545455,96.1153693181818,3021.23132954545
"Class #49",10776.0284782609,2694.00715217391,63.7608695652174,128.521739130435,142.991347826087,173.965408695652,81.4428260869565,192.955717391304,599.243065217391,21.3695652173913,0.767170586956522,529.826086956522,0.608405934782609,101.26417826087,1.11804673913043,97.0247260869565,3430.11652173913
"Class #50",24238.3104444444,6059.58031111111,132.444444444444,265.888888888889,310.897013333333,397.680734444444,170.821,426.800722222222,1271.31891111111,35.7555555555556,0.781103822222222,1117.32222222222,0.638229955555556,97.4285555555556,1.11003833333333,94.05448,7715.29641111111
"Class #51",4748.84591549296,1187.21188732394,30.3521126760563,61.7042253521127,138.793052112676,216.379490140845,111.048450704225,248.435042253521,550.726492957746,12.7605633802817,0.767731253521127,290.183098591549,0.594032971830986,95.6359464788732,1.13024338028169,90.5042845070423,1511.60545070423
"Class #52",15548.1761538462,3887.04384615385,70.9423076923077,142.884615384615,227.990378846154,386.656076923077,107.031538461538,400.91275,925.313653846154,24.5769230769231,0.779569240384615,593.038461538462,0.628595211538462,99.8862048076923,1.09840625,96.6236048076923,4949.13826923077
"Class #53",1798.41106060606,449.603,9.87878787878788,20.7575757575758,69.8903787878788,158.72455,53.1759090909091,173.602372727273,343.637757575758,6.40909090909091,0.723811333333333,107.69696969697,0.54867103030303,100.178024242424,1.1370303030303,93.0843833333333,572.452348484848
"Class #54",9960.0697826087,2490.01786956522,59.4565217391304,119.913043478261,165.742293478261,284.982014130435,115.914239130435,320.260068478261,747.955239130435,22.5652173913043,0.780757358695652,506.054347826087,0.638206152173913,99.6304402173913,1.1103902173913,96.0490413043478,3170.38965217391
